Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P52888	THOP1_HUMAN	reviewed	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78)	THOP1	Homo sapiens (Human)	689
Q9Y6M0	TEST_HUMAN	reviewed	Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21)	PRSS21 ESP1 TEST1 UNQ266/PRO303	Homo sapiens (Human)	314
P42892	ECE1_HUMAN	reviewed	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	Homo sapiens (Human)	770
O95672	ECEL1_HUMAN	reviewed	Endothelin-converting enzyme-like 1 (EC 3.4.24.-) (Xce protein)	ECEL1 XCE UNQ2431/PRO4991	Homo sapiens (Human)	775
P0DPD8	EFCE2_HUMAN	reviewed	EEF1AKMT4-ECE2 readthrough transcript protein (EC 3.4.24.71) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	EEF1AKMT4-ECE2	Homo sapiens (Human)	883
Q5TDH0	DDI2_HUMAN	reviewed	Protein DDI1 homolog 2 (EC 3.4.23.-)	DDI2	Homo sapiens (Human)	399
P81605	DCD_HUMAN	reviewed	Dermcidin (EC 3.4.-.-) (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1]	DCD AIDD DSEP	Homo sapiens (Human)	110
P0DPD6	ECE2_HUMAN	reviewed	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)	ECE2 KIAA0604 UNQ403/PRO740	Homo sapiens (Human)	811
Q9NQC7	CYLD_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD)	CYLD CYLD1 KIAA0849 HSPC057	Homo sapiens (Human)	956
Q9P2N4	ATS9_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 9 (ADAM-TS 9) (ADAM-TS9) (ADAMTS-9) (EC 3.4.24.-)	ADAMTS9 KIAA1312	Homo sapiens (Human)	1935
Q76LX8	ATS13_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	ADAMTS13 C9orf8 UNQ6102/PRO20085	Homo sapiens (Human)	1427
Q8TE56	ATS17_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-)	ADAMTS17	Homo sapiens (Human)	1095
Q8TE60	ATS18_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	ADAMTS18 ADAMTS21	Homo sapiens (Human)	1221
Q9UKP5	ATS6_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 6 (ADAM-TS 6) (ADAM-TS6) (ADAMTS-6) (EC 3.4.24.-)	ADAMTS6	Homo sapiens (Human)	1117
P58397	ATS12_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12) (EC 3.4.24.-)	ADAMTS12 UNQ1918/PRO4389	Homo sapiens (Human)	1594
Q8TE57	ATS16_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-)	ADAMTS16 KIAA2029	Homo sapiens (Human)	1224
Q8TE59	ATS19_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19) (EC 3.4.24.-)	ADAMTS19	Homo sapiens (Human)	1207
P54252	ATX3_HUMAN	reviewed	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361
Q92560	BAP1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6)	BAP1 KIAA0272 hucep-6	Homo sapiens (Human)	729
O95450	ATS2_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	Homo sapiens (Human)	1211
O15072	ATS3_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205
Q9Y5Z0	BACE2_HUMAN	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	Homo sapiens (Human)	518
A8K7I4	CLCA1_HUMAN	reviewed	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914
Q9UQC9	CLCA2_HUMAN	reviewed	Calcium-activated chloride channel regulator 2 (EC 3.4.-.-) (Calcium-activated chloride channel family member 2) (hCLCA2) (Calcium-activated chloride channel protein 3) (CaCC-3) (hCaCC-3) [Cleaved into: Calcium-activated chloride channel regulator 2, 109 kDa form; Calcium-activated chloride channel regulator 2, 35 kDa form]	CLCA2 CACC3	Homo sapiens (Human)	943
P27487	DPP4_HUMAN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766
Q6V1X1	DPP8_HUMAN	reviewed	Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8)	DPP8 DPRP1 MSTP097 MSTP135 MSTP141	Homo sapiens (Human)	898
Q9H324	ATS10_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 10 (ADAM-TS 10) (ADAM-TS10) (ADAMTS-10) (EC 3.4.24.-)	ADAMTS10	Homo sapiens (Human)	1103
Q8WXS8	ATS14_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 14 (ADAM-TS 14) (ADAM-TS14) (ADAMTS-14) (EC 3.4.24.-)	ADAMTS14	Homo sapiens (Human)	1223
Q9UKP4	ATS7_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 7 (ADAM-TS 7) (ADAM-TS7) (ADAMTS-7) (EC 3.4.24.-) (COMPase)	ADAMTS7	Homo sapiens (Human)	1686
Q9UHI8	ATS1_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1)	ADAMTS1 KIAA1346 METH1	Homo sapiens (Human)	967
Q9UNA0	ATS5_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	ADAMTS5 ADAMTS11 ADMP2	Homo sapiens (Human)	930
Q9H3M9	ATX3L_HUMAN	reviewed	Ataxin-3-like protein (EC 3.4.19.12) (Machado-Joseph disease protein 1-like)	ATXN3L ATX3L MJDL	Homo sapiens (Human)	355
P56817	BACE1_HUMAN	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1 BACE KIAA1149	Homo sapiens (Human)	501
Q9UP79	ATS8_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2) (METH-8)	ADAMTS8 METH2	Homo sapiens (Human)	889
Q8TE58	ATS15_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-)	ADAMTS15	Homo sapiens (Human)	950
O75173	ATS4_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837
P59510	ATS20_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20) (EC 3.4.24.-)	ADAMTS20	Homo sapiens (Human)	1910
Q92905	CSN5_HUMAN	reviewed	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)	COPS5 CSN5 JAB1	Homo sapiens (Human)	334
Q99895	CTRC_HUMAN	reviewed	Chymotrypsin-C (EC 3.4.21.2) (Caldecrin)	CTRC CLCR	Homo sapiens (Human)	268
Q96SM3	CPXM1_HUMAN	reviewed	Probable carboxypeptidase X1 (EC 3.4.17.-) (Metallocarboxypeptidase CPX-1)	CPXM1 CPX1 CPXM UNQ3015/PRO9782	Homo sapiens (Human)	734
P17538	CTRB1_HUMAN	reviewed	Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]	CTRB1 CTRB	Homo sapiens (Human)	263
P40313	CTRL_HUMAN	reviewed	Chymotrypsin-like protease CTRL-1 (EC 3.4.21.-)	CTRL CTRL1	Homo sapiens (Human)	264
P23946	CMA1_HUMAN	reviewed	Chymase (EC 3.4.21.39) (Alpha-chymase) (Mast cell protease I)	CMA1 CYH CYM	Homo sapiens (Human)	247
Q9Y6W3	CAN7_HUMAN	reviewed	Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH)	CAPN7 PALBH	Homo sapiens (Human)	813
P43235	CATK_HUMAN	reviewed	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2	Homo sapiens (Human)	329
P56202	CATW_HUMAN	reviewed	Cathepsin W (EC 3.4.22.-) (Lymphopain)	CTSW	Homo sapiens (Human)	376
Q8NEM8	CBPC3_HUMAN	reviewed	Cytosolic carboxypeptidase 3 (EC 3.4.17.-) (ATP/GTP-binding protein-like 3)	AGBL3 CCP3	Homo sapiens (Human)	1001
Q96MI9	CBPC4_HUMAN	reviewed	Cytosolic carboxypeptidase 4 (EC 3.4.17.-) (ATP/GTP-binding protein-like 1)	AGBL1 CCP4	Homo sapiens (Human)	1066
Q96KN2	CNDP1_HUMAN	reviewed	Beta-Ala-His dipeptidase (EC 3.4.13.20) (CNDP dipeptidase 1) (Carnosine dipeptidase 1) (Glutamate carboxypeptidase-like protein 2) (Serum carnosinase)	CNDP1 CN1 CPGL2 UNQ1915/PRO4380	Homo sapiens (Human)	507
Q96KP4	CNDP2_HUMAN	reviewed	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Carnosine dipeptidase II) (Epididymis secretory protein Li 13) (Glutamate carboxypeptidase-like protein 1) (Peptidase A)	CNDP2 CN2 CPGL HEL-S-13 PEPA	Homo sapiens (Human)	475
P06681	CO2_HUMAN	reviewed	Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]	C2	Homo sapiens (Human)	752
P00751	CFAB_HUMAN	reviewed	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB BF BFD	Homo sapiens (Human)	764
P00746	CFAD_HUMAN	reviewed	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	CFD DF PFD	Homo sapiens (Human)	253
Q16740	CLPP_HUMAN	reviewed	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)	CLPP	Homo sapiens (Human)	277
P07384	CAN1_HUMAN	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	CAPN1 CANPL1 PIG30	Homo sapiens (Human)	714
P31944	CASPE_HUMAN	reviewed	Caspase-14 (CASP-14) (EC 3.4.22.-) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	CASP14	Homo sapiens (Human)	242
P49662	CASP4_HUMAN	reviewed	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit 1; Caspase-4 subunit 2]	CASP4 ICH2	Homo sapiens (Human)	377
P15085	CBPA1_HUMAN	reviewed	Carboxypeptidase A1 (EC 3.4.17.1)	CPA1 CPA	Homo sapiens (Human)	419
P00736	C1R_HUMAN	reviewed	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	C1R	Homo sapiens (Human)	705
P15086	CBPB1_HUMAN	reviewed	Carboxypeptidase B (EC 3.4.17.2) (Pancreas-specific protein) (PASP)	CPB1 CPB PCPB	Homo sapiens (Human)	417
O14815	CAN9_HUMAN	reviewed	Calpain-9 (EC 3.4.22.-) (Digestive tract-specific calpain) (New calpain 4) (nCL-4) (Protein CG36)	CAPN9 NCL4	Homo sapiens (Human)	690
Q9UNI1	CELA1_HUMAN	reviewed	Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1)	CELA1 ELA1	Homo sapiens (Human)	258
P08217	CEL2A_HUMAN	reviewed	Chymotrypsin-like elastase family member 2A (EC 3.4.21.71) (Elastase-2A)	CELA2A ELA2A	Homo sapiens (Human)	269
P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
Q14790	CASP8_HUMAN	reviewed	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
P07711	CATL1_HUMAN	reviewed	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]	CTSL CTSL1	Homo sapiens (Human)	333
P43234	CATO_HUMAN	reviewed	Cathepsin O (EC 3.4.22.42)	CTSO CTSO1	Homo sapiens (Human)	321
P53634	CATC_HUMAN	reviewed	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	Homo sapiens (Human)	463
P09093	CEL3A_HUMAN	reviewed	Chymotrypsin-like elastase family member 3A (EC 3.4.21.70) (Elastase IIIA) (Elastase-3A) (Protease E)	CELA3A ELA3 ELA3A	Homo sapiens (Human)	270
P05156	CFAI_HUMAN	reviewed	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	CFI IF	Homo sapiens (Human)	583
P55210	CASP7_HUMAN	reviewed	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
P25774	CATS_HUMAN	reviewed	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331
P15088	CBPA3_HUMAN	reviewed	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)	CPA3	Homo sapiens (Human)	417
Q9UPW5	CBPC1_HUMAN	reviewed	Cytosolic carboxypeptidase 1 (EC 3.4.17.-) (ATP/GTP-binding protein 1) (Nervous system nuclear protein induced by axotomy protein 1 homolog)	AGTPBP1 CCP1 KIAA1035 NNA1	Homo sapiens (Human)	1226
P16870	CBPE_HUMAN	reviewed	Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	CPE	Homo sapiens (Human)	476
